Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
0,2024-09-12 14:45:00,BTCUSDT,58020.1,58080.9,57980.3,58017.9,978.852,56815153.8593,0
0,2024-09-12 14:30:00,BTCUSDT,58049.9,58110,57965,58020.1,833.461,48366746.6539,0
0,2024-09-12 14:15:00,BTCUSDT,57898.3,58054.5,57893.4,58049.9,1284.936,74523876.8104,0
0,2024-09-12 14:00:00,BTCUSDT,57894.7,57945.1,57858.9,57898.3,914.318,52933648.0263,0
0,2024-09-12 13:45:00,BTCUSDT,57920.7,57967.7,57888,57894.7,1038.379,60140568.906,0
0,2024-09-12 13:30:00,BTCUSDT,57991.6,58039.2,57905.8,57920.7,996.061,57736204.2595,0
0,2024-09-12 13:15:00,BTCUSDT,58040.4,58055.5,57971.7,57991.6,465.57,27007908.7012,0
0,2024-09-12 13:00:00,BTCUSDT,57979.5,58060.8,57954.7,58040.4,839.316,48686956.1762,0
0,2024-09-12 12:45:00,BTCUSDT,58053.4,58068.9,57952,57979.5,1910.997,110840511.1903,0
0,2024-09-12 12:30:00,BTCUSDT,58134.6,58172.6,58042.8,58053.4,745.222,43302555.5664,0
0,2024-09-12 12:15:00,BTCUSDT,58187.7,58205.4,58133.1,58134.6,503.382,29284502.012,0
0,2024-09-12 12:00:00,BTCUSDT,58127.5,58187.7,58054,58187.7,1273.755,74020587.5195,0
0,2024-09-12 11:45:00,BTCUSDT,58280.2,58295.3,58089.7,58127.5,2141.395,124558936.0701,0
0,2024-09-12 11:30:00,BTCUSDT,58271.6,58309,58217.2,58280.2,1112.079,64796888.762,0
0,2024-09-12 11:15:00,BTCUSDT,58182.5,58288,58137.6,58271.6,1037.638,60419212.7777,0
0,2024-09-12 11:00:00,BTCUSDT,58094.6,58240.8,58050.2,58182.5,1844.491,107299228.1555,0
0,2024-09-12 10:45:00,BTCUSDT,57995.4,58102,57935.8,58094.6,1966.6,114177701.9822,0
0,2024-09-12 10:30:00,BTCUSDT,58013.8,58115.5,57952.5,57995.4,1368.462,79419031.1563,0
0,2024-09-12 10:15:00,BTCUSDT,57903.1,58029.6,57855.7,58013.8,552.042,31990437.6425,0
0,2024-09-12 10:00:00,BTCUSDT,57902.9,58014.8,57825.1,57903.1,1926.733,111595783.6048,0
0,2024-09-12 09:45:00,BTCUSDT,57873.6,57952.8,57850,57902.9,575.848,33345727.7179,0
0,2024-09-12 09:30:00,BTCUSDT,57884.8,57935.8,57803,57873.6,990.3,57307059.7405,0
0,2024-09-12 09:15:00,BTCUSDT,58033.4,58056,57828,57884.8,2005.686,116138889.0981,0
0,2024-09-12 09:00:00,BTCUSDT,57937.9,58057.4,57893.6,58033.4,1273.233,73825879.2172,0
0,2024-09-12 08:45:00,BTCUSDT,58003.7,58084.6,57885,57937.9,3312.948,192021246.0046,0
0,2024-09-12 08:30:00,BTCUSDT,58029.2,58108.9,57934.2,58003.7,1600.66,92846341.1498,0
0,2024-09-12 08:15:00,BTCUSDT,58072.8,58113.4,58011.1,58029.2,1058.318,61440375.9666,0
0,2024-09-12 08:00:00,BTCUSDT,58132.7,58136.2,58029.9,58072.8,1349.084,78380607.2217,0
0,2024-09-12 07:45:00,BTCUSDT,58276.6,58276.9,58114.9,58132.7,1276.311,74246416.5955,0
0,2024-09-12 07:30:00,BTCUSDT,58324.8,58342.5,58196.3,58276.6,1040.44,60622851.7961,0
0,2024-09-12 07:15:00,BTCUSDT,58342.4,58386.7,58296.4,58324.8,1469.278,85722304.6374,0
0,2024-09-12 07:00:00,BTCUSDT,58192.6,58353,58132.1,58342.4,1308.76,76224817.7719,0
0,2024-09-12 06:45:00,BTCUSDT,58247.5,58280,58162.5,58192.6,661.597,38513214.3613,0
0,2024-09-12 06:30:00,BTCUSDT,58236.8,58300,58126.8,58247.5,1370.261,79778378.5232,0
0,2024-09-12 06:15:00,BTCUSDT,58199.9,58250.7,58120.6,58236.8,983.773,57237592.3964,0
0,2024-09-12 06:00:00,BTCUSDT,57905.8,58244.9,57905.8,58199.9,2985.887,173627498.574,0
0,2024-09-12 05:45:00,BTCUSDT,57968.6,58037,57867.1,57905.8,1137.797,65918334.4417,0
0,2024-09-12 05:30:00,BTCUSDT,57935,58025,57798.7,57968.6,2399.236,138901164.0801,0
0,2024-09-12 05:15:00,BTCUSDT,57924.1,58055.7,57813.4,57935,2839.226,164373724.2575,0
0,2024-09-12 05:00:00,BTCUSDT,58097.1,58443.9,57914.7,57924.1,8125.741,473002828.4875,0
0,2024-09-12 04:45:00,BTCUSDT,57677.5,58276.9,57644.3,58097.1,2732.326,158216624.7506,0
0,2024-09-12 04:30:00,BTCUSDT,57729.5,57900,57659,57677.5,1808.472,104511061.0554,0
0,2024-09-12 04:15:00,BTCUSDT,57566.8,57734.9,57556.9,57729.5,602.384,34727891.7272,0
0,2024-09-12 04:00:00,BTCUSDT,57582.7,57707,57554.8,57566.8,1209.27,69687692.0276,0
